CUID,RUID,SSN,first.name,middle.initial,last.name,street.number,street.name,apartment.number,city,state,zipcode
9460,15086,110612716,Muehlematter,E,Harmi,909,Tengco Rd,4c7,Mont Vernon,NH,3057
7717,14102,670118412,Fahhe,M,Lehn,NA,PO Box 4894,,Las Vegas,NV,89123
16529,16552,272776642,Bakhshi,L,Brandner,575,Katherin Ln,5x2,Perth,ND,58363
12932,12932,427100102,Piras,,Smkins,184,Aguila Avenue,7v7,beenah,WI,54957
3611,10288,0,Henshaw,,Evelynn,301,Egi Street,6b6,Vanadium,NM,88073
4442,4442,420367231,Usui,E,Tetsukazu,789,Joyce Avenue,1z4,Barrington,NJ,8007
11977,31187,0,Mikesell,M,Ronal,816,Dunlavey,6i5,Brownsville,IN,47325
11529,11529,485042278,Fresquez,D,Cesar,NA,PO Box 1676,,Pickton,TX,75471
16790,16790,223700143,Lidovina,G,Viveca,297,Okuzawa St,5s7,Burlington,VT,5405
15765,18035,0,Furia,A,Landrove,259,Mukundan Lane,40000000,Agana,GU,96926
5110,5110,464381777,Koma,,Lieggi,97,Graman Lane,3i8,South Elgin,IL,60177
17056,17056,672325277,Haggins,W,Hobecn,354,Morneau Lane,4q7,Fresno,CA,93700
10715,15120,574713717,Caviel,T,Guidon,346,Satter Ave,3f6,Wardensville,WV,26851
9248,25290,0,Sharri,I,Seeds,548,Rafmat Ave,2m5,Freetown,IN,47235
3400,5010,0,Dermot,,Nason,75,Bloom Pkwy,4a8,Myers Flat,CA,95554
12519,12519,646748377,Baralt,W,Ulrikaumeko,435,Mccain Street,3m5,New Haven,CT,6518
17008,27397,482563710,Bassil,E,Momose,513,Lyne Street,8v1,Tampa,FL,33629
10210,10210,153551712,Tuder,T,Zhongquan,180,Jyi St,6g6,Winnett,MT,59058
6692,6692,746607581,Diveymani,Q,Achmad,113,Peiffer Street,3m0,Moroni,UT,84646
6480,6688,217458344,Reweta,B,Ratnayake,822,Salaw Rd,3c7,Denver,CO,80226
7298,7298,553766330,Miremadi,O,Lenox,841,Shorts,3c2,Greenville,ME,4485
9598,9598,633788222,Farnes,I,Novisedlak,865,Nozawa St,0b1,Vonore,TN,37885
