CUID,RUID,SSN,first name,middle initial,last name,street number,street name,apartment number,city,state,zipcode
0,12834,242181544,Kness,R,Jolee,215,Leitber Rd,3u1,Hampton,VA,23669
0,0,602181544,Kness,R,Jolee,215,Leitner Rd,3u1,Hampton,VA,23669
2,16316,673511276,Haluk,,Guiel,733,Ravanat Street,3.00E+01,Norwalk,CT,6854
2,2,673511276,Haluk,,Guiel,736,Ravanat Street,3.00E+01,Norwalk,CT,6854
4,4,713468712,Jermayne,F,Devald,23,Wui Street,0p5,Troy,MT,59935
5,8770,0,Rothe,W,Bovenizer,161,aMlkani Avenue,0i4,Chandler,AZ,85244
5,7780,0,Rothe,W,Bovenizer,166,Malkani Avenue,0i4,Chtndler,AZ,85244
5,5,0,Rothe,W,Bovenizer,161,Malkani Avenue,0i4,Chandler,AZ,85244
8,8,0,Barbehenn,R,Drescher,60,Els St,1s1,Arlington,AZ,85322
9,9,487328451,Linnen,L,Bassett,669,Munos Lane,5l5,Ruth,NV,89319
9,7261,481228451,Linnen,L,Bassett,669,Munos Lane,5l5,Ruth,NV,89319
11,17963,0,Wetherbee,,Bauhaus,397,Shiba St,2q8,Norwich,CT,6360
11,2059,0,Wetherbee,,Bauhaus,397,Shuiba St,2q8,Norwich,CT,6360
11,11,0,Wetherbee,,Bauhaus,397,Shiba St,2q8,Norwich,CT,6360
14,19497,532538853,Shekar,T,Cule,870,Mair Lane,1l0,Topeka,KS,66604
14,14,532538853,Shekar,T,Cule,870,Mair Lane,1l0,Topeka,KS,66604
16,4865,0,P,T,eZnner,326,Lebron Street,1b3,Dubois,ID,83423
16,13204,0,Postigo,T,Zenner,322,Lebron Street,1b3,Dubois,ID,83423
16,16,0,Postigo,T,Zenner,322,Lebron Street,1b3,Dubois,ID,83423
19,19,634647526,Bazlen,H,Subhashini,833,Hanawa Lane,6o1,Starbuck,WA,99359
19,1845,634647526,Bazlen,H,Subhashini,832,Hanawa Lane,6o1,Starbuck,WA,99359
19,8449,634647526,Bazlen,H,Subhashini,833,Hanawa Lane,6o1,Starbuck,WA,99359
22,8268,158064066,Tole,P,Gensel,536,Kornely Road,4z2,East aCndia,NH,3040
22,22,158064066,Toole,P,Gensenl,536,Kornely Road,4z2,East Candia,NH,3040
22,19022,158064066,Toole,P,Gensel,536,Kornely Road,4z2,East Candia,NH,3040
25,25,0,Lacee,V,Mikolaizak,83,Mulumba Street,6q4,West Warwick,RI,2893
25,2027,0,Lacee,V,Mikolaizak,525,Jelinek Road,7s2,Washington,DC,20427
25,2375,0,Lacee,V,Mikolaizak,83,Mulumba Street,6q4,West Warwick,RI,2893
28,3820,305384783,Jory,O,esmo,63,Roleson Street,4x6,Kansas City,MO,64141
28,10498,305384783,Jory,O,Lesmo,73,Roleson Street,4x6,Kansas City,MO,64141
28,28,305384783,Jory,O,Lesmo,63,Roleson Street,4x6,Kansas City,MO,64141
31,31,0,Wenchien,,Tripathi,742,Suharly Pkwy,3j3,Christiansted,VI,824
31,6745,0,Wenchien,,Tripathi,749,Suharly Pkwy,3j3,Christiansted,VI,824
33,33,0,Marconi,M,Vincon,215,Moulton St,4i3,Old Mission,MI,49673
33,7261,0,Marconi,M,Vincon,815,Moulton St,4i3,Old Mission,MI,49673
35,7235,0,Quinlisk,A,Raghu,23,Esa St,3o1,Saint Johns,MI,48879
35,8682,0,Quinlisk,A,Raghu,73,Esa St,3o1,Saint Johns,MI,48879
35,35,0,Quinlisk,A,Raghu,73,Esa St,3o1,Saint Johns,MI,48879
38,38,145366502,Palma,R,Trester,111,Attardo Rd,2c7,Delray Beach,FL,33484
38,1836,145326702,Palma,R,Trester,321,Kumar St,5c5,Delray Beach,FL,33484
40,40,0,Sitzmann,J,Presley,647,Ishak Rd,7g3,Agana,GU,96923
41,9006,658182888,qAveue,D,Serne,794,Prudo Street,4a1,North Platte,NE,69103
41,41,658182888,Aveque,D,Serne,794,Prudi Street,4a1,North Platte,NE,69103
43,43,315260611,Mcgaughey,I,Ibntas,46,Malvin Pkwy,5d1,Lewistown,MT,59445
44,44,467774360,Bahia,K,Gerety,810,Tsuguo Rd,4p6,Rosser,TX,75157
45,850,228555804,fGoit,Z,Koke,910,Ferdinande Ave,4d2,Linwood,NJ,8222
45,45,228555804,Goit,Z,Koke,910,Ferdinande Ave,4d2,Linwood,NJ,8222
47,11742,0,Steph,U,Boggan,387,Sov Ave,2s2,wCasper,WY,82609
47,47,0,Steph,U,Boggan,387,Sova Ave,2s2,Casper,WY,82609
49,49,681311122,Mcneish,X,Bloemker,439,Pandolfi Street,4u0,Lincoln,NE,68529
50,17338,0,Ted,T,Branberg,995,Joye Rd,5g5,Kresgeville,PA,18333
50,50,0,Ted,T,Branberg,995,Joye Rd,5g5,Kresgeville,PA,18333
52,52,0,Lehner,T,Nobahar,522,Rosalee St,5w4,Vestaburg,MI,48891
53,53,0,Good,,Lagomarsino,584,Najmi Lane,8t7,North Wilkesboro,NC,28659
54,215,612654280,Daud,Z,Olympe,174,Rosdine Av,8m5,Columbus,OH,43270
54,14401,612654280,Daud,Z,Olympe,128,Huesgen Avenue,6c5,Cavendish,VT,5142
54,54,612654280,Daud,Z,Olympe,188,Huesgen Avenue,6c5,Cavendish,VT,5142
57,17878,321344126,Senni,A,Redling,949,Mclavin Road,2p6,Nazareth,MI,49074
57,57,321344126,Senni,A,Redling,949,Mclavin Road,2p6,Nazareth,MI,49074
59,59,155165585,Karppi,Z,Rollie,444,Koss Rd,7c6,gana,GU,96927
59,5048,155165585,Karppi,Z,Rollie,484,Koss Rd,7c6,Agana,GU,96927
61,61,682648272,Lagaay,B,Margoruie,292,Kufchzak St,1z6,Camargo,IL,61919
61,13683,682648272,Lagaay,B,Margorie,292,Kufchak St,1z6,Camargo,IL,61919
63,63,272122015,Chepregi,E,Omokawa,145,Karlik Ave,4n1,Cadillac,MI,49601
63,8829,272122015,Chepregi,E,Omokawa,145,Karlik Ave,4n1,Cadillac,MI,49601
65,65,736531868,Wollren,O,Nemes,160,Dehneige Avenue,1a7,Marshaklville,OH,44645
65,1139,738531868,Wollen,O,Nemes,493,Ruffiner Ave,1b7,Marshallville,OH,44645
67,2595,161331264,Gail,Q,Wiklund,552,Gerrer Road,8f4,Mantoloking,NJ,8738
67,67,161331264,Gail,Q,Wiklund,552,Gererr Road,8f4,Manroloking,NJ,8738
67,6191,161331264,Gail,Q,Wiklund,552,Gerrer Road,8f4,Mantoloking,NJ,8738
70,70,0,Viva,A,Trays,558,Arys Road,6c7,Cornish Flat,NH,3746
70,7152,0,Vva,A,Trays,358,Aryds Road,6c7,Cornish Flat,NH,3746
70,4958,0,Viva,A,Trays,558,Ardys Road,6c7,Cornish Flat,NH,3746
73,4800,733012584,Jozsef,A,Wiles,717,Phommakesone Ln,2a2,Harpers Ferry,WV,25425
